country,project,id,year,month,date,site,treatment,plot_id,functional_group,family,name_2020,genus,species,individual_nr,plant_height_cm,nr_leaves,bulk,wet_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,dry_mass_total_g,number_leaves_scan,leaf_area_total_cm2,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc,leaf_thickness_ave_mm,area_flag,dry_flag,wet_flag
PE,Puna,AGB1312,2019,April,2019-04-10,TRE,C,3,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris,taraxacoides,4,4,3,NA,0.204,0.222,0.196,0.138,0.032,3,5.4533,0.06799999999999999,0.010666666666666666,1.8177666666666665,170.415625,0.15686274509803924,0.18533333333333335,NA,NA,NA
PE,Puna,AGC4838,2019,April,2019-04-10,TRE,C,3,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris,taraxacoides,5,3,3,NA,0.145,0.18,0.183,0.165,0.021,3,4.412,0.04833333333333333,0.007,1.4706666666666666,210.09523809523807,0.14482758620689656,0.176,NA,NA,NA
PE,Puna,AGD3705,2019,April,2019-04-10,TRE,C,2,Woody,Ericaceae,Pernettya prostrata,Pernettya,prostrata,1,3,10,NA,0.065,0.255,0.269,0.234,0.016,10,2.7503,0.006500000000000001,0.0016,0.27503,171.89374999999998,0.24615384615384614,0.2526666666666667,NA,NA,NA
PE,Puna,ANA0037,2019,April,2019-04-12,ACJ,B,2,Forb,Asteraceae,Laestadia musicola,Laestadia,musicola,4,3,NA,Bulk,0.061,0.166,0.157,0.108,0.011,63,4.193,9.682539682539682e-4,1.746031746031746e-4,0.06655555555555555,381.1818181818182,0.18032786885245902,0.14366666666666666,NA,NA,NA
PE,Puna,ANB6723,2019,April,2019-04-12,ACJ,B,2,Forb,Asteraceae,Laestadia musicola,Laestadia,musicola,3,3,NA,Bulk,0.016,0.082,0.109,0.093,0,35,1.547,4.5714285714285713e-4,0,0.044199999999999996,Inf,0,0.09466666666666666,NA,NA,NA
PE,Puna,ANC7056,2019,April,2019-04-12,ACJ,B,2,Forb,Asteraceae,Laestadia musicola,Laestadia,musicola,2,2,NA,Bulk,0.084,0.175,0.162,0.174,0.014,69,6.5333,0.0012173913043478262,2.0289855072463768e-4,0.09468550724637681,466.6642857142857,0.16666666666666666,0.17033333333333334,NA,NA,NA
PE,Puna,AND3042,2019,April,2019-04-12,ACJ,B,2,Forb,Asteraceae,Laestadia musicola,Laestadia,musicola,1,2,NA,Bulk,0.027,0.105,0.129,0.096,0.006,35,2.3115,7.714285714285715e-4,1.7142857142857143e-4,0.06604285714285714,385.25,0.2222222222222222,0.11,NA,NA,NA
PE,Puna,AOV4140,2019,April,2019-04-10,TRE,C,1,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris,taraxacoides,3,4,3,NA,0.195,0.192,0.207,0.191,0.031,3,7.3238,0.065,0.010333333333333333,2.441266666666667,236.25161290322583,0.15897435897435896,0.19666666666666666,NA,NA,NA
PE,Puna,AOW3698,2019,April,2019-04-10,TRE,C,1,Fern,Lycopodiaceae,Lycopodium clavatum,Lycopodium,clavatum,2,5,NA,Bulk,0.033,0.078,0.061,0.083,0.022,1,3.5315,0.033,0.022,3.5315,160.52272727272728,0.6666666666666666,0.074,NA,NA,NA
PE,Puna,AOX4296,2019,April,2019-04-10,TRE,C,1,Fern,Lycopodiaceae,Lycopodium clavatum,Lycopodium,clavatum,1,4,NA,Bulk,0.042,0.125,0.139,0.111,0.02,1,3.4089,0.042,0.02,3.4089,170.445,0.47619047619047616,0.125,NA,NA,NA
