id,year,date,month,site,treatment,plot_id,taxon,plant_height_cm,individual_nr,nr_leaves,bulk,wet_mass_total_g,dry_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,leaf_area_total_cm2,number_leaves_scan
IZS4021,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Gentiana sedifolia,1.5,1,NA,Bulk,0.291,0.09,0.172,0.181,0.177,11.4615,NA
IZT8318,2019,2019-11-22T00:00:00Z,November,QUE,C,4,Agrostis green,5,3,NA,Bulk,0.053,0.022,0.119,0.084,0.132,2.9502,16
IZU4958,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Gamochaeta americana,2,1,3,"NA",0.106,0.034,0.265,0.239,0.234,4.1529,3
IZV2050,2019,2019-11-24T00:00:00Z,November,TRE,B,5,Alchemilla sectada,1.5,1,5,"NA",0.012,0.009,0.195,0.19,0.194,1.4909,5
IZW7717,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Baccharis caespitosa,3,3,NA,Bulk,0.265,0.11,0.308,0.314,0.317,9.8036,NA
IZX2754,2019,2019-11-24T00:00:00Z,November,TRE,B,3,Laestadia musicola,3,3,NA,Bulk,0.082,0.043,0.149,0.132,0.154,7.9772,NA
IZY7375,2019,2019-11-22T00:00:00Z,November,QUE,C,4,Agrostis green,2,1,NA,Bulk,0.044,0.018,0.133,0.13,0.118,2.5514,24
IZZ5476,2019,2019-11-24T00:00:00Z,November,TRE,B,5,Luzula narrow,9.5,2,3,"NA",0.092,0.043,0.242,0.282,0.226,4.2042,3
J,2019,2019-04-20T00:00:00Z,April,QUE,C,3,Euphorbia thymifolia,2,1,7,"NA",0.053,0.015,0.13,0.128,0.176,2.2597,7
JAA0192,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Werneria nubigena,5.2,3,1,"NA",0.294,0.065,0.57,0.51,0.472,5.31,2
JAB2307,2019,2019-11-24T00:00:00Z,November,TRE,B,5,Gamochaeta americana,2.5,2,5,"NA",0.087,0.031,0.264,0.235,0.26,5.2764,5
JAC4965,2019,2019-11-22T00:00:00Z,November,QUE,C,5,Baccharis caespitosa,4,2,NA,Bulk,0.276,0.111,0.338,0.344,0.341,9.8031,NA
JAD4381,2019,2019-11-24T00:00:00Z,November,TRE,B,3,Laestadia musicola,3,2,NA,Bulk,0.083,0.037,0.168,0.155,0.162,7.4927,NA
JAE5475,2019,2019-11-22T00:00:00Z,November,QUE,C,4,Agrostis green,2,2,NA,Bulk,0.053,0.023,0.142,0.126,0.119,3.3378,33
JAF6072,2019,2019-11-24T00:00:00Z,November,TRE,B,5,Luzula narrow,13.6,1,3,"NA",0.103,0.049,0.234,0.235,0.237,5.0798,3
JAG6671,2019,2019-11-24T00:00:00Z,November,TRE,B,3,Luzula narrow,17,2,2,"NA",0.092,0.057,0.231,0.218,0.237,4.8028,2
