id,dry_weight_g,observations
CBO9016,0.0254,NA
BVT7166,0.0279,NA
AXW0624,0.0287,NA
BWN6157,0.0057,NA
BWJ5879,0.017,NA
BVQ4137,0.0636,NA
BVM5909,0.0327,NA
BVI6248,0.043,NA
AWM5612,0.0079,NA
AWL0335,0.0179,NA
AWK2660,0.0138,NA
AVW4960,0.0489,NA
ASU5572,0.0399,NA
AWA4195,0.0347,NA
BWV0127,0.0167,NA
AWI7431,0.0456,NA
AKC4237,0.288,NA
AXC1228,0.016,NA
AWO3114,0.0044,NA
AWN8341,0.014,NA
AIL6011,0.0231,NA
AII6146,0.0415,NA
AIM4525,0.0496,NA
AYK3180,0.033,NA
AYT0814,0.0214,NA
AYU4285,0.0323,NA
AXO5399,0.129,NA
AJC2607,0.0702,NA
AIY8963,0.07,NA
BUE6490,0.005,NA
BUF4137,0.0162,NA
BWW2337,0.0329,NA
AXN6446,0.0278,NA
AXM4823,0.0227,NA
ABN3450,0.0581,NA
AWG2964,0.0487,NA
ATM7065,0.0158,NA
BMJ1491,0.0524,NA
AFT5936,0.1224,NA
ARN4732,0.0833,NA
CSC5324,0.1502,NA
CSB9414,0.3905,NA
CRX5569,0.4892,NA
CYS6747,0.0246,NA
CYP5235,0.0491,NA
CYO124,0.0849,NA
CYL9123,0.1002,NA
BWE0585,0.0058,NA
BWO8975,0.0054,NA
BWA4923,0.0083,NA
CHO2895,0.1247,NA
CHS6073,0.0639,NA
CHW7830,0.0639,NA
CUQ5101,0.02,NA
CUB4618,0.034,NA
CUF0423,0.022,NA
CRK0069,0.0038,NA
CRO3025,0.0063,NA
CRG4870,0.0061,NA
CIA1650,0.1257,NA
CUW3490,0.0754,NA
CVA7888,0.1187,NA
CVM4701,0.0208,NA
CVJ1688,0.0209,NA
CVI5537,0.021,NA
CZL0310,0.0159,NA
CZM3353,0.0167,NA
CUI3904,0.016,NA
CZD8614,0.0132,NA
CZH2438,0.0113,NA
CXZ5136,0.007,NA
ARO2359,0.1721,NA
ARK5328,0.0917,NA
ARG1592,0.067,NA
AQQ2704,0.0121,NA
CVE9285,0.0072,NA
CVU6041,0.0113,NA
CYQ36610,0.0247,NA
CYY9577,0.0386,NA
CYU0738,0.0452,NA
ARC4128,0.0285,NA
AQY7348,0.0315,NA
CUC9131,0.0534,NA
CVV0408,0.0247,NA
CQM8761,0.0972,NA
CRC9080,0.0036,NA
CQY0464,0.0029,NA
CQU2293,0.0051,NA
CUJ6908,0.0338,NA
CUN4446,0.0183,NA
CLA1009,0.0262,NA
CWE5051,0.1018,NA
CXH7282,0.0823,NA
CWI8054,NA,lo leaf
CQQ7498,0.0246,NA
CQI9338,0.0446,NA
CWA4176,0.0187,NA
CUS4603,0.0078,NA
CXL1895,0.0106,NA
CRS4316,0.0109,NA
CPT8581,0.0779,NA
COW5378,0.1668,NA
COO4438,0.1131,NA
CLE3621,0.0451,NA
CLI2719,0.0585,NA
CLM5021,0.0475,NA
CPP2960,0.01065,NA
CPS5846,0.002,NA
CPG2454,0.0062,NA
ARX5668,0.0307,NA
ART2867,0.0138,NA
ARP4944,0.0306,NA
COV4231,0.0068,NA
CPD5422,0.0134,NA
CUR1539,0.0157,NA
CPN103,0.0035,NA
CPF3426,0.0021,NA
CPV6807,0.0039,NA
CPR756,0.007,NA
CPY2173,0.0089,NA
COT7134,0.0073,NA
CPE1441,0.0045,NA
CPA3170,0.0091,NA
COP6603,0.0039,NA
CQC2026,0.0034,NA
CPC4082,0.0031,NA
COU5148,0.006,NA
COQ5851,0.0062,NA
COM1496,0.0058,NA
CNR1954,0.0039,NA
COU6998,0.0343,NA
CUK8344,0.0408,NA
CUG4348,0.0588,NA
CJR5543,0.0134,NA
CLQ5022,0.0132,NA
CUV6621,0.0162,NA
CQZ9924,0.1499,NA
CQR5995,0.1286,NA
CRD3119,0.0799,NA
CUZ4141,0.0159,NA
CVD3073,0.0068,NA
CSA9893,0.0078,NA
CVQ1316,0.055,NA
CQN9461,0.0088,NA
CQV4929,0.0235,NA
CQJ7359,0.0081,NA
CIR4364,0.0144,NA
CIV7889,0.0093,NA
CRH0210,0.0411,NA
CHK6500,0.0078,NA
CXR6993,0.0597,NA
CIN1015,0.0369,NA
AFW7317,0.0122,NA
AGA3860,0.0131,NA
AGJ2611,0.0137,NA
BPD5973,0.0127,NA
BPT2010,0.0134,NA
BOZ3783,0.0104,NA
BPX5546,0.0111,NA
BQH4082,0.0072,NA
BQB2273,0.0087,NA
BOI5226,0.0325,NA
BOE3552,0.0111,NA
BNW1503,0.0136,NA
BNP7330,0.157,NA
BNL1286,0.0603,NA
BMZ8110,0.1244,NA
AGH6475,0.0132,NA
AGD0575,0.0143,NA
AFZ3710,0.0133,NA
.BOU3717,0.1697,NA
BOY2514,0.1611,NA
BPC6853,0.1565,NA
AGW4067,0.1074,NA
AFP2671,0.0766,NA
AHC5329,0.0838,NA
AHG9356,0.0289,NA
ASH1497,0.0383,NA
ASD6839,0.0523,NA
AGN6553,0.0534,NA
CKL1087,0.0216,NA
CJKD0965,0.037,NA
CKH7214,0.0306,NA
CJZ6289,0.0275,NA
CJV5222,0.0229,NA
CNW9172,0.0152,NA
CJQ9308,0.0138,NA
CJU7238,0.0168,NA
CJY5988,0.0129,NA
CKC2790,0.007,NA
CJH5793,0.0154,NA
CNS1834,0.0271,NA
CNO7141,0.0355,NA
CSI7530,0.0219,NA
AGV6997,0.2275,NA
CQE0962,0.1599,NA
COZ3128,0.3041,NA
CON1085,0.3883,NA
COR5632,0.3355,NA
CRU8285,0.2535,NA
CQA1732,0.1034,NA
CPW0644,0.1675,NA
CPO3902,0.1909,NA
CPK7130,0.1457,NA
BMK5849,0.013,NA
CFE3595,0.0268,NA
AQG1962,0.0318,NA
ANP7683,0.032,NA
CFC1000,0.0091,NA
CEB0998,0.0221,NA
CEF2052,0.0146,NA
CEJ9557,0.0128,NA
CEN6822,0.0135,NA
AQP3205,0.0127,NA
AOJ6237,0.0123,NA
BMO5598,0.043,NA
COB5911,0.0276,NA
CNX3247,0.0313,NA
CNP7038,0.0251,NA
CNT6057,0.0274,NA
CNL3516,0.0271,NA
CNH5018,0.0285,NA
BPZ6022,0.0035,NA
BQC6897,0.0098,NA
BPV3469,0.0071,NA
CRT9362,0.0351,NA
CWJ0701,0.0043,NA
CWF2802,0.0075,NA
CWB8675,0.0045,NA
CVX1237,0.005,NA
CWG6070,0.008,NA
CWC6163,0.0112,NA
CVY9887,0.0066,NA
CQH4403,0.0055,NA
CSE4003,0.0065,NA
CSF5865,0.0074,NA
CRL7437,0.0303,NA
CIJ0687,0.0499,NA
CIF6978,0.047,NA
CIB6662,0.0567,NA
CHX5000,0.0305,NA
CHT3424,0.0462,NA
CHL4896,0.0414,NA
CIO0938,0.0565,NA
CIW5202,0.045,NA
CIS0953,0.0437,NA
CIK0884,0.0638,NA
AVV3560,0.0461,NA
AVU1713,0.0273,NA
AAV4547,0.0363,NA
AAW2094,0.0322,NA
BHJ1002,0.0598,NA
BIC3765,0.0528,NA
BJS7544,0.0608,NA
AWQ8039,0.1812,NA
AWR9211,0.2116,NA
AWP2046,0.1334,NA
BIU3645,0.0282,NA
BIZ5523,0.0496,NA
BJA1325,0.059,NA
BIK8949,0.0965,NA
BIG1752,0.01151,NA
BIW1826,0.0679,NA
BIO4239,0.1035,NA
BIS2527,0.09553,NA
BIA2849,0.075,NA
ADX3747,0.0164,NA
AAF7186,0.0161,NA
ATF3984,0.0119,NA
ADD1710,0.0147,NA
AHB7381,0.0097,NA
AUE9764,0.0158,NA
ATO7404,0.0178,NA
ATK1879,0.016,NA
ATG4892,0.0153,NA
AUF2369,0.0181,NA
AEV1251,0.0148,NA
AUB2849,0.0132,NA
AAI8954,0.0149,NA
ATW0.117,0.0117,NA
ATS6341,0.0159,NA
ACW6576,0.0461,NA
ACV7342,0.07,NA
ACZ6300,0.0742,NA
AUH1440,0.0788,NA
AUN0427,0.0662,NA
AVS4697,0.0555,NA
AVR0480,0.037,NA
ADA0944,0.0501,NA
ACY7408,0.0465,NA
ACX1351,0.0598,NA
ADM3986,0.0371,NA
ADL2925,0.0348,NA
ADK0442,0.0375,NA
AFD4050,0.033,NA
AVT8551,0.0365,NA
ATZ3172,0.0265,NA
ADQ6888,0.0269,NA
AUD7270,0.0294,NA
ATV9424,0.0301,NA
AAG6831,0.0193,NA
AAB6480,0.0125,NA
ADU0043,0.0191,NA
AAA0656,0.0211,NA
ADR7570,0.0153,NA
ATR1676,0.0152,NA
ACG5039,0.0278,NA
ADW8361,0.027,NA
AAD6680,0.0286,NA
ADV2430,0.0338,NA
AAC4646,0.0283,NA
BJK8108,0.1565,NA
BJO6731,0.1242,NA
BJW7612,0.136,NA
BKI1080,0.1654,NA
BKA5776,0.2174,NA
BJC7535,0.1018,NA
BJG2262,0.1738,NA
BEM5407,0.1974,NA
BEU6992,0.1727,NA
BEY0184,0.1185,NA
BEQ4363,0.1615,NA
AHK4586,0.1459,NA
AIT9407,0.0616,NA
AIJ5153,0.0439,NA
AIN6045,0.0449,NA
BFD5127,0.149,NA
BCT1282,0.0914,NA
BDM8832,0.08,NA
AVD9454,0.1686,NA
AWE4726,0.2094,NA
BAI5013,0.0128,NA
BAC4448,0.0164,NA
BAG8355,0.0152,NA
AVF0584,0.2513,NA
AXB8981,0.0511,NA
AXA3752,0.0298,NA
AWT5017,0.0359,NA
AWV1958,0.0417,NA
AWU8380,0.047,NA
ATQ5697,0.0347,NA
AIP9349,0.2635,NA
AIE7697,0.0388,NA
AIK3112,0.56,NA
AWJ3734,0.041,NA
AWH8141,0.0165,NA
BDC4816,0.0247,NA
AHJ1193,0.0146,NA
AFK6078,0.0098,NA
BWS7242,0.0169,NA
BDD2811,0.0173,NA
