id,day,site,elevation,genus,species,project,experiment,plot_id,individual_nr,leaf_nr,plant_height_cm,plant_length_cm,bulk_nr_leaves,length_cm,wet_mass_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,remark,notes1,notes2
BEH4888,12,ACJ,NA,Gaultheria,glomerata,T,C,5,3,2,12.5,NA,NA,NA,0.181,0.519,0.53,0.503,NA,NA,NA
BES9370,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,5,2,3,41,66,NA,NA,0.296,0.244,0.235,0.236,NA,NA,NA
BIY3008,12,ACJ,NA,Gaultheria,glomerata,T,C,4,3,2,10,NA,NA,NA,0.161,0.509,0.505,0.51,NA,NA,NA
BIO4239,12,ACJ,NA,Gaultheria,glomerata,T,C,4,2,4,19,NA,NA,NA,0.217,0.508,0.5,0.532,NA,NA,NA
BIW1826,12,ACJ,NA,Gaultheria,glomerata,T,C,4,2,5,19,NA,NA,NA,0.152,0.473,0.482,0.492,NA,NA,NA
BIZ5523,12,ACJ,NA,Gaultheria,glomerata,T,C,4,3,4,10,NA,NA,NA,0.114,0.528,0.557,0.55,NA,NA,NA
BJA1325,12,ACJ,NA,Gaultheria,glomerata,T,C,4,3,3,10,NA,NA,NA,0.135,0.53,0.527,0.554,NA,NA,NA
BIL4667,12,ACJ,NA,Baccharis,genistelloides,T,C,5,2,NA,40,NA,NA,NA,0.294,0.211,0.24,0.228,NA,NA,NA
BIS2527,12,ACJ,NA,Gaultheria,glomerata,T,C,4,2,3,19,NA,NA,NA,0.18,0.582,0.554,0.534,NA,NA,NA
BGI6077,12,ACJ,NA,Baccharis,genistelloides,T,C,5,3,NA,28,NA,NA,NA,0.338,0.277,0.22,0.233,NA,NA,NA
BGH0791,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,3,1,NA,18.7,21.6,NA,NA,0.344,0.313,0.326,0.333,NA,NA,NA
BFC4303,12,ACJ,NA,Carex,pichinchensis,T,C,3,3,NA,57,57,NA,NA,0.527,0.293,0.297,0.283,NA,NA,NA
BHI1101,12,ACJ,NA,Carex,pichinchensis,T,C,5,2,NA,57,58,NA,NA,0.464,0.349,0.232,0.147,NA,NA,NA
BDJ9438,12,ACJ,NA,Hieracium,c.f. mandonii,T,C,5,3,NA,16,NA,NA,NA,0.249,0.239,0.214,0.204,NA,NA,NA
AHP7215,12,ACJ,NA,Lachemilla,orbiculata,T,C,1,3,NA,2.4,NA,NA,NA,0.074,0.255,0.242,0.242,NA,NA,NA
AHO4802,12,ACJ,NA,Lachemilla,orbiculata,T,C,1,2,5,2.5,NA,NA,NA,0.169,0.335,0.269,0.318,NA,NA,NA
AHU9337,12,ACJ,NA,Lachemilla,orbiculata,T,C,1,2,4,2.5,NA,NA,NA,0.132,0.297,0.287,0.308,NA,NA,NA
